Year,Length (min),Title,Subject,Actor,Actress,Director,Popularity,Awards,"Filter cells that had ""The"" at end"
1984,95,Getting Physical,Drama,David Naughton,Alexandra Paul,Steven Hilliard Stern,75,No,FALSE
1984,106,A Year of the Quiet Sun,Drama,Scott Wilson,Maja Komorowska,Krzystoff Zanussi,78,No,FALSE
1984,100,Swing Shift,Drama,Kurt Russell,Goldie Hawn,Jonathan Demme,81,No,FALSE
1984,112,Places in the Heart,Drama,Ed Harris,Sally Field,Robert Benton,83,Yes,FALSE
1985,112,The Official Story ,Drama,Hector Alterio,Norma Aleandro,Luiz Puenzo,39,Yes,TRUE
1985,131,The Falcon & the Snowman ,Drama,Timothy Hutton,,John Schlesinger,61,No,TRUE
1985,108,The Trip to Bountiful ,Drama,John Heard,Geraldine Page,Peter Masterson,62,Yes,TRUE
1985,94,The Rumor Mill ,Drama,Richard A. Dysart,Elizabeth Taylor,Gus Trikonis,62,No,TRUE
1985,100,The Clan of the Cave Bear ,Drama,James Remar,Daryl Hannah,Michael Chapman,73,No,TRUE
1985,104,Subway,Drama,Christopher Lambert,Isabelle Adjani,Luc Besson,6,No,FALSE
1985,124,Plenty,Drama,Charles Dance,Meryl Streep,Fred Schepisi,9,No,FALSE
1985,119,Kiss of the Spider Woman,Drama,William Hurt,Sonia Braga,Hector Babenco,10,Yes,FALSE
1985,135,Death of a Salesman,Drama,Dustin Hoffman,Kate Reid,Volker Schlöndorff,13,No,FALSE
1985,95,Code Name Emerald,Drama,Ed Harris,,Jonathan Sanger,22,No,FALSE
1985,111,Power,Drama,Gene Hackman,Julie Christie,Sidney Lumet,43,No,FALSE
1985,92,What Comes Around,Drama,Jerry Reed,,Jerry Reed,49,No,FALSE
1985,105,Vagabond,Drama,Macha Meril,Sandrine Bonnaire,Agnes Varda,49,No,FALSE
1985,95,Teen Wolf,Drama,Michael J. Fox,Susan Ursitti,Rod Daniel,58,No,FALSE
1985,112,Witness,Drama,Harrison Ford,Kelly McGillis,Peter Weir,59,No,FALSE
1985,128,Christopher Columbus,Drama,Gabriel Byrne,Virna Lisi,Alberto Lattuada,69,No,FALSE
1985,161,Out of Africa,Drama,Robert Redford,Meryl Streep,Sydney Pollack,88,Yes,FALSE
1986,119,The Color of Money ,Drama,Paul Newman,Mary Elizabeth Mastrantonio,Martin Scorsese,6,Yes,TRUE
1986,128,The Name of the Rose ,Drama,Sean Connery,,Jean-Jacques Annaud,8,No,TRUE
1986,125,The Mission ,Drama,Robert De Niro,Cherie Lunghi,Roland Joffe,20,No,TRUE
1986,91,The La Chevre ( Goat),Drama,Gérard Depardieu,,Francis Veber,24,No,TRUE
1986,120,The Boy Who Could Fly ,Drama,Jay Underwood,Lucy Deakins,Nick Castle,25,No,TRUE
1986,119,The Mosquito Coast ,Drama,Harrison Ford,,,54,No,TRUE
1986,97,The Boy in Blue ,Drama,Nicolas Cage,,Cynthia Dale,63,No,TRUE
1986,140,The Assault ,Drama,Derek De Lint,,Fons Rademakers,71,Yes,TRUE
1986,105,Ratboy,Drama,Robert Townsend,Sondra Locke,Sondra Locke,1,No,FALSE
1986,114,Hoosiers,Drama,Gene Hackman,Barbara Hershey,David Anspaugh,2,No,FALSE
1986,117,Nine & a Half Weeks,Drama,Mickey Rourke,Kim Basinger,Adrian Lyne,7,No,FALSE
1986,120,Platoon,Drama,Charlie Sheen,,Oliver Stone,8,Yes,FALSE
1986,103,Fire with Fire,Drama,Craig Sheffer,Virginia Madsen,Duncan Gibbins,9,No,FALSE
1986,108,No Mercy,Drama,Richard Gere,Kim Basinger,Richard Pearce,11,No,FALSE
1986,108,Love Songs,Drama,Christopher Lambert,Catherine Deneuve,Elie Chouraqui,15,No,FALSE
1986,120,Manhunter,Drama,William L. Petersen,Kim Griest,Michael Mann,19,No,FALSE
1986,119,Children of a Lesser God,Drama,William Hurt,Marlee Matlin,Randa Haines,20,Yes,FALSE
1986,90,Hard Choices,Drama,Gary McCleery,Margaret Klenck,Rick King,41,No,FALSE
1986,101,Instant Justice,Drama,Michael Paré,Lynda Bridges,Craig Rumar,45,No,FALSE
1986,132,Alrededor de Medianoche,Drama,Cluzet Francois,McKee Lonette,David Rayfield,47,No,FALSE
1986,112,A Man & a Woman: Twenty Years Later,Drama,Jean-Louis Trintignant,Anouk Aimee,Claude Lelouch,49,No,FALSE
1986,95,Between Two Women,Drama,Michael Nouri,Farrah Fawcett,John Avnet,52,No,FALSE
1986,221,On Wings of Eagles,Drama,Burt Lancaster,Constance Towers,Andrew V. McLaglen,53,No,FALSE
1986,141,Courage,Drama,Billy Dee Williams,Sophia Loren,,56,No,FALSE
1986,103,Peggy Sue Got Married,Drama,Nicolas Cage,Kathleen Turner,Francis Ford Coppola,62,No,FALSE
1986,90,Running Mates,Drama,Greg Webb,Barbara Howard,Thomas L. Neff,63,No,FALSE
1986,113,About Last Night,Drama,Rob Lowe,Demi Moore,Edward Zwick,66,No,FALSE
1986,120,Betty Blue,Drama,Jean-Hughes Anglade,Béatrice Dalle,Jean-Jacques Beineix,71,No,FALSE
1986,100,American Anthem,Drama,Mitch Gaylord,Janet Jones,Albert Magnoli,74,No,FALSE
1986,96,Pretty in Pink,Drama,Harry Dean Stanton,Molly Ringwald,Howard Deutch,75,No,FALSE
1986,130,El Guerrero Solitario,Drama,Clint Eastwood,Marsha Mason,Clint Eastwood,77,No,FALSE
1986,122,Salvador,Drama,James Woods,Cynthia Gibb,Oliver Stone,77,No,FALSE
1986,107,Duet for One,Drama,Alan Bates,Julie Andrews,Andrei Konchalovsky,82,No,FALSE
1986,120,Jean de Florette,Drama,Yves Montand,Elizabeth Depardieu,Claude Berri,87,Yes,FALSE
1986,90,Knights & Emeralds,Drama,Bill Leadbitter,Beverly Hills,Ian Emes,,No,FALSE
1987,164,The Last Emperor ,Drama,John Lone,,Bernardo Bertolucci,1,Yes,TRUE
1987,119,The Untouchables ,Drama,Sean Connery,,Palma Brian De,7,Yes,TRUE
1987,109,The Big Town ,Drama,Matt Dillon,Diane Lane,Ben Bolt,11,No,TRUE
1987,,The Sicilian ,Drama,Christopher Lambert,Barbara Sukowa,Michael Cimino,41,No,TRUE
1987,90,The Good Father ,Drama,Anthony Hopkins,,Mike Newell,42,No,TRUE
1987,88,The Arrogant ,Drama,Gary Graham,Sylvia Kristel,Philippe Blot,62,No,TRUE
1987,94,The Wolf at the Door ,Drama,Donald Sutherland,,Henning Carlsen,68,No,TRUE
1987,134,The Glass Menagerie ,Drama,John Malkovich,Joanne Woodward,Paul Newman,68,No,TRUE
1987,99,River's Edge,Drama,Crispin Glover,Ione Skye,Tim Hunter,3,No,FALSE
1987,96,Nights in White Satin,Drama,Kenneth Gilman,Priscilla Harris,Michael Barnard,5,No,FALSE
1987,100,Sammy & Rosie Get Laid,Drama,Ayub Khan Din,Frances Barber,Stephen Frears,6,No,FALSE
1987,153,Empire of the Sun,Drama,John Malkovich,Miranda Richardson,Steven Spielberg,6,No,FALSE
1987,126,Wall Street,Drama,Michael Douglas,Daryl Hannah,Oliver Stone,6,Yes,FALSE
1987,118,Shy People,Drama,John Philbin,Jill Clayburgh,Andrei Konchalovsky,7,No,FALSE
1987,93,Some Kind of Wonderful,Drama,Eric Stoltz,Lea Thompson,Howard Deutch,16,No,FALSE
1987,116,Orphans,Drama,Albert Finney,,Alan J. Pakula,21,No,FALSE
1987,97,Barfly,Drama,Mickey Rourke,Faye Dunaway,Barbet Schroeder,23,No,FALSE
1987,95,Hearts of Fire,Drama,Rupert Everett,,,25,No,FALSE
1987,112,Gardens of Stone,Drama,James Caan,Anjelica Huston,Francis Ford Coppola,27,No,FALSE
1987,135,Ironweed,Drama,Jack Nicholson,Meryl Streep,Hector Babenco,32,No,FALSE
1987,103,Au Revoir les Enfants,Drama,Gaspard Manesse,Francine Racette,Louis Malle,35,No,FALSE
1987,87,Mistress,Drama,Allan Rachins,Victoria Principal,Michael Tuchner,36,No,FALSE
1987,94,Campus Man,Drama,John Dye,Morgan Fairchild,Ron Casden,38,No,FALSE
1987,95,Kitchen Toto THe,Drama,Bob Peck,Phyllis Logan,Harry Hook,41,No,FALSE
1987,118,Castaway,Drama,Oliver Reed,Amanda Donohoe,Nicolas Roeg,41,No,FALSE
1987,94,Kandyland,Drama,Charles Laulette,Kim Evenson,Robert Allen Schnitzer,41,No,FALSE
1987,93,Hot Pursuit,Drama,John Cusack,Wendy Gazelle,Steven Lisberger,44,No,FALSE
1987,60,Encounters,Drama,Bergan Raven Von,Monica Navarro,Bruce Marder,44,No,FALSE
1987,86,House of the Rising Sun,Drama,Frank Annese,Tawny Moyer,Greg Gold,45,No,FALSE
1987,139,Maurice,Drama,James Wilby,Judy Parfitt,James Ivory,45,No,FALSE
1987,98,Under the Sun of Satan,Drama,Gérard Depardieu,Sandrine Bonnaire,Maurice Pialat,45,No,FALSE
1987,97,Siesta,Drama,Gabriel Byrne,Ellen Barkin,Mary Lambert,48,No,FALSE
1987,90,PK. & the Kid.,Drama,Paul LeMat,Molly Ringwald,,49,No,FALSE
1987,100,Nuts,Drama,Richard Dreyfuss,Barbra Streisand,Martin Ritt,52,No,FALSE
1987,97,Dreams Lost Dreams Found,Drama,David Robb,Kathleen Quinlan,Willi Patterson,66,No,FALSE
1987,105,Prettykill,Drama,David Birney,Season Hubley,George Kaczender,71,No,FALSE
1987,90,Dragonard,Drama,Oliver Reed,Eartha Kitt,Gerard Kikoine,71,No,FALSE
1987,130,Wings of Desire,Drama,Bruno Ganz,Solveig Dommartin,Wim Wenders,71,No,FALSE
1987,155,Indigo Autumn & Lilac Dream,Drama,Marc Singer,Lisa Schrage,Stuart Gillard,72,No,FALSE
1987,100,Law of Desire,Drama,Carmen Maura,,Pedro Almodóvar,73,No,FALSE
1987,102,Babette's Feast,Drama,Jean-Philippe LaFont,Stéphane Audran,Gabriel Axel,79,Yes,FALSE
1987,130,Matewan,Drama,James Earl Jones,Mary McDonnell,John Sayles,81,No,FALSE
1988,172,The Unbearable Lightness of Being ,Drama,Daniel Day-Lewis,Juliette Binoche,Philip Kaufman,5,Yes,TRUE
1988,118,The Big Blue ,Drama,Jean-Marc Barr,Rosanna Arquette,Luc Besson,7,No,TRUE
1988,120,The Lonely Passion of Judith Hearne ,Drama,Bob Hoskins,Maggie Smith,Jack Clayton,24,No,TRUE
1988,96,The Salsa:  Motion Picture,Drama,Robby Rosa,,,26,No,TRUE
1988,163,The Last Temptation of Christ ,Drama,Willem Dafoe,Barbara Hershey,Martin Scorsese,32,No,TRUE
1988,93,The Diamond Trap ,Drama,Howard Hessman,Brooke Shields,Don Taylor,58,No,TRUE
1988,88,The Blue Iguana ,Drama,Dylan McDermott,Jessica Harper,John Lafia,65,No,TRUE
1988,110,The Tucker:  Man & His Dream,Drama,Jeff Bridges,Joan Allen,Francis Ford Coppola,68,No,TRUE
1988,103,The Year My Voice Broke ,Drama,Noah Taylor,Loene Carmen,John Duigan,71,No,TRUE
1988,110,The Accused ,Drama,Bernie Coulson,Kelly McGillis,Jonathan Kaplan,71,Yes,TRUE
1988,116,Running on Empty,Drama,Judd Hirsch,Christine Lahti,Sidney Lumet,2,No,FALSE
1988,81,Another Woman,Drama,Gene Hackman,Gena Rowlands,Woody Allen,7,No,FALSE
1988,134,Rain Man,Drama,Dustin Hoffman,Valeria Golino,Barry Levinson,8,Yes,FALSE
1988,360,Little Dorrit,Drama,Derek Jacobi,Sarah Pickering,Christine Edzard,12,No,FALSE
1988,103,Cocktail,Drama,Tom Cruise,Elisabeth Shue,Roger Donaldson,13,No,FALSE
1988,92,Judgement in Berlin,Drama,Martin Sheen,,Leo Penn,13,No,FALSE
1988,138,Pelle the Conqueror,Drama,Max von Sydow,,Bille August,14,Yes,FALSE
1988,103,Stand & Deliver,Drama,Edward James Olmos,Rosana DeSoto,Ramon Menendez,19,No,FALSE
1988,78,Hot Money,Drama,Orson Welles,,,19,No,FALSE
1988,127,Colors,Drama,Sean Penn,Maria Conchita Alonso,Dennis Hopper,23,No,FALSE
1988,161,Bird,Drama,Forest Whitaker,Diane Venora,Clint Eastwood,24,No,FALSE
1988,100,Rocket Gibraltar,Drama,Burt Lancaster,,Daniel Petrie,26,No,FALSE
1988,83,Control,Drama,Burt Lancaster,Kate Nelligan,,27,No,FALSE
1988,117,Dead Ringers,Drama,Jeremy Irons,Geneviève Bujold,David Cronenberg,29,No,FALSE
1988,75,Let It Rock,Drama,Dennis Hopper,,David Lynch,32,No,FALSE
1988,120,Mississippi Burning,Drama,Gene Hackman,Frances McDormand,Alan Parker,41,Yes,FALSE
1988,87,Souvenir,Drama,Christopher Plummer,Catherine Hicks,Geoffrey Reeve,42,No,FALSE
1988,92,Permanent Record,Drama,Alan Boyce,Jennifer Rubin,Marisa Silver,42,No,FALSE
1988,91,Track Twenty-Nine,Drama,Gary Oldman,Theresa Russell,Nicolas Roeg,48,No,FALSE
1988,84,Night Tide,Drama,Gavin Muir,,Curtis Harrington,50,No,FALSE
1988,96,Split Decisions,Drama,Gene Hackman,Jennifer Beals,David Drury,52,No,FALSE
1988,108,Miles from Home,Drama,Kevin Anderson,Jo Anderson,Gary Sinise,53,No,FALSE
1988,92,A Month in the Country,Drama,Colin Firth,,Pat O'Connor,57,No,FALSE
1988,100,Clara's Heart,Drama,Michael Ontkean,Whoopi Goldberg,Robert Mulligan,60,No,FALSE
1988,122,A Cry in the Dark,Drama,Sam Neill,Meryl Streep,Fred Schepisi,67,No,FALSE
1988,91,In a Shallow Grave,Drama,Michael Biehn,Maureen Mueller,Kenneth Bowser,72,No,FALSE
1988,109,Unsettled Land,Drama,John Shea,Kelly McGillis,Uri Barbash,75,No,FALSE
1988,98,Stealing Home,Drama,Mark Harmon,Jodie Foster,Steven  Kampmann,76,No,FALSE
1988,119,Dangerous Liaisons,Drama,John Malkovich,Glenn Close,Stephen Frears,77,No,FALSE
1988,,Five Corners,Drama,Tim Robbins,Jodie Foster,,88,No,FALSE
1989,99,The American Angels: Baptism of Blood ,Drama,Robert D. Bergen,Trudy Adams,Beverly Sebastian,28,No,TRUE
1989,88,The Money ,Drama,Laurence Luckinbill,Elizabeth Richards,,29,No,TRUE
1989,104,The Rainbow ,Drama,David Hemmings,Sammi Davis,Ken Russell,53,No,TRUE
1989,114,The Fabulous Baker Boys ,Drama,Jeff Bridges,Michelle Pfeiffer,Steve Kloves,66,No,TRUE
1989,120,Do the Right Thing,Drama,Danny Aiello,Ruby Dee,Spike Lee,5,No,FALSE
1989,121,Enemies a Love Story,Drama,Ron Silver,Anjelica Huston,Paul Mazursky,5,No,FALSE
1989,99,Driving Miss Daisy,Drama,Morgan Freeman,Jessica Tandy,Bruce Beresford,6,Yes,FALSE
1989,122,Quo Vadis,Drama,Klaus Maria Brandauer,Cristina Raines,Franco Rossi,6,No,FALSE
1989,94,Naked Lie,Drama,William Lucking,Victoria Principal,Richard A. Colla,7,No,FALSE
1989,145,Born on the Fourth of July,Drama,Tom Cruise,Caroline Kava,Oliver Stone,8,Yes,FALSE
1989,105,Hawks,Drama,Timothy Dalton,Janet McTeer,Robert Ellis Miller,11,No,FALSE
1989,,Good Fellas,Drama,Robert De Niro,Lorraine Bracco,Martin Scorsese,15,No,FALSE
1989,80,Skull,Drama,Robert Bideman,Nadia Capone,Robert Bergman,19,No,FALSE
1989,118,Vincent Francois Paul & the Others,Drama,Yves Montand,Stéphane Audran,,20,No,FALSE
1989,109,Winter People,Drama,Kurt Russell,Kelly McGillis,Ted Kotcheff,30,No,FALSE
1989,103,My Left Foot,Drama,Daniel Day-Lewis,Brenda Fricker,Jim Sheridan,32,Yes,FALSE
1989,91,Too Beautiful for You,Drama,Gérard Depardieu,,Bertrand Blier,35,No,FALSE
1989,30,Matt Talbot,Drama,Seamus Ford,,Biddy W. Lennon,35,No,FALSE
1989,120,Triumph of the Spirit,Drama,Willem Dafoe,Wendy Gazelle,Robert M. Young,49,No,FALSE
1989,109,Lean on Me,Drama,Morgan Freeman,Beverly Todd,John G. Avildsen,51,No,FALSE
1989,119,See You in the Morning,Drama,Jeff Bridges,Alice Krige,Alan J. Pakula,53,No,FALSE
1989,117,Harry & Son,Drama,Paul Newman,Joanne Woodward,Paul Newman,57,No,FALSE
1989,89,After School,Drama,Sam Bottoms,Page Hannah,,59,No,FALSE
1989,118,Steel Magnolias,Drama,Tom Skerritt,Sally Field,Herbert Ross,66,No,FALSE
1989,97,A Dry White Season,Drama,Donald Sutherland,Susan Sarandon,Euzhan Palcy,71,No,FALSE
1989,90,American Autobahn,Drama,Jan Jalenak,,Andre Degas,75,No,FALSE
1989,150,Sara Dane,Drama,Harold Hopkins,,Rod Hardy,75,No,FALSE
1989,116,In Country,Drama,Bruce Willis,Emily Lloyd,Norman Jewison,76,No,FALSE
1989,90,Never on Tuesday,Drama,Andrew Lauer,Claudia Christian,Adam Rifkin,77,No,FALSE
1989,127,Fat Man & Little Boy,Drama,Paul Newman,Laura Dern,Roland Joffe,86,No,FALSE
1989,101,Sex Lies and Videotape,Drama,James Spader,Andie MacDowell,Soderbergh,,,FALSE
1990,102,The End of Innocence ,Drama,John Heard,Dyan Cannon,Dyan Cannon,6,No,TRUE
1990,94,The Bellboy & the Playgirls ,Drama,June Wilkinson,,Francis Ford Coppola,7,No,TRUE
1990,135,The Hunt for Red October ,Drama,Sean Connery,,John McTiernan,8,No,TRUE
1990,93,The Court-Martial of Jackie Robinson ,Drama,Andre Braugher,Ruby Dee,Larry Peerce,33,No,TRUE
1990,88,The Kissing Place ,Drama,Meredith Baxter Birney,Victoria Snow,Tony Wharmby,41,No,TRUE
1990,126,The Bonfire of the Vanities ,Drama,Tom Hanks,Melanie Griffith,Palma Brian De,82,No,TRUE
1990,93,A Show of Force,Drama,Andy Garcia,Amy Irving,Bruno Barreto,1,No,FALSE
1990,,Running Away,Drama,Robert Loggia,Sophia Loren,,2,No,FALSE
1990,117,Internal Affairs,Drama,Richard Gere,Laurie Metcalf,Mike Figgis,3,No,FALSE
1990,125,Wild at Heart,Drama,Nicolas Cage,Laura Dern,David Lynch,6,No,FALSE
1990,93,Web of Deceit,Drama,James Read,Linda Purl,Sandor Stern,6,No,FALSE
1990,95,Torn Apart,Drama,Adrian Pasdar,Cecilia Peck,Jack Fisher,8,No,FALSE
1990,128,Dead Poets Society,Drama,Robin Williams,,Peter Weir,8,Yes,FALSE
1990,90,Twenty Four Hours in a Woman's Life,Drama,Rip Torn,Ingrid Bergman,,16,No,FALSE
1990,98,Hiroshima,Drama,Judd Nelson,,Peter Werner,17,No,FALSE
1990,104,Wait Until Spring Bandini,Drama,Joe Mantegna,Faye Dunaway,,20,No,FALSE
1990,92,After the Shock,Drama,Yaphet Kotto,Rue McClanahan,Gary Sherman,28,No,FALSE
1990,102,Wait Until Spring Bandini,Drama,Joe Mantegna,Ornella Muti,Dominique Deruddere,29,No,FALSE
1990,108,Bright Lights Big City,Drama,Michael J. Fox,Dianne Wiest,James Bridges,30,No,FALSE
1990,96,Chattahoochee,Drama,Gary Oldman,,Mick Jackson,30,No,FALSE
1990,149,Camille Claudel,Drama,Gérard Depardieu,Isabelle Adjani,Bruno Nuytten,32,No,FALSE
1990,94,Snow Kill,Drama,Terence Knox,Patti D'Arbanville,Thomas J. Wright,35,No,FALSE
1990,97,Fellow Traveller,Drama,Daniel J. Travanti,Imogen Stubbs,Philip Saville Towns,39,No,FALSE
1990,106,In Too Deep,Drama,Hugo Race,Santha Press,Colin South John Tatoulis,50,No,FALSE
1990,115,Men Don't Leave,Drama,Arliss Howard,Jessica Lange,Paul Brickman,66,No,FALSE
1990,120,Hot Spot,Drama,Don Johnson,Virginia Madsen,Dennis Hopper,70,No,FALSE
1990,111,Reversal of Fortune,Drama,Jeremy Irons,Glenn Close,Barbet Schroeder,73,Yes,FALSE
1990,135,Cyrano de Bergerac,Drama,Gérard Depardieu,Anne Brochet,Jean-Paul Rappeneau,76,No,FALSE
1990,129,Mo' Better Blues,Drama,Denzel Washington,,Spike Lee,78,No,FALSE
1990,,A Married Man,Drama,Anthony Hopkins,,,79,No,FALSE
1990,97,Zandalee,Drama,Nicolas Cage,Erika Anderson,Sam Pillsbury,80,No,FALSE
1990,,Blood in Blood Out,Drama,Sean Penn,,Edward James Olmos,88,No,FALSE
1990,105,Guilty by Suspicion,Drama,Robert De Niro,Annette Bening,Irwin Winkler,88,No,FALSE
1991,124,The Russia House ,Drama,Sean Connery,Michelle Pfeiffer,Fred Schepisi,3,No,TRUE
1991,117,The Last Time I Saw Paris ,Drama,Van Johnson,Elizabeth Taylor,,13,No,TRUE
1991,,The Elizabeth Taylor Collection ,Drama,Eddie Fisher,Elizabeth Taylor,,21,No,TRUE
1991,111,The Seventh Cross ,Drama,Spencer Tracy,Jessica Tandy,,35,No,TRUE
1991,125,The Last Hurrah ,Drama,Spencer Tracy,,John Ford,46,No,TRUE
1991,135,The Doors ,Drama,Val Kilmer,Meg Ryan,Oliver Stone,60,No,TRUE
1991,,Coming Home,Drama,Jon Voight,Jane Fonda,,1,Yes,FALSE
1991,98,Five Easy Pieces,Drama,Jack Nicholson,Karen Black,Bob Rafelson,2,No,FALSE
1991,117,La Femme Nikita,Drama,Tcheky Karyo,Anne Parillaud,Luc Besson,6,No,FALSE
1991,98,Cat Chaser,Drama,Peter Weller,Kelly McGillis,Abel Ferrera,6,No,FALSE
1991,120,Awakenings,Drama,Robert De Niro,Julie Kavner,Penny Marshall,8,No,FALSE
1991,118,Test Pilot,Drama,Clark Gable,Myrna Loy,,13,No,FALSE
1991,128,Inherit the Wind,Drama,Gene Kelly,,,18,No,FALSE
1991,111,Flatliners,Drama,Kiefer Sutherland,Julia Roberts,Joel Schumacher,19,No,FALSE
1991,108,Edison the Man,Drama,Spencer Tracy,,,19,No,FALSE
1991,115,Little Women,Drama,Spencer Tracy,Katharine Hepburn,,22,No,FALSE
1991,,Raging Bull,Drama,Robert De Niro,,Martin Scorsese,25,No,FALSE
1991,102,Hunchback,Drama,Anthony Hopkins,Lesley-Anne Down,Michael Tuchner,33,No,FALSE
1991,145,Dragon Seed,Drama,Spencer Tracy,Katharine Hepburn,,34,No,FALSE
1991,28,Kids & Pesticides,Drama,Robin Whyatt,Meryl Streep,,36,No,FALSE
1991,95,Fury,Drama,Spencer Tracy,,Fritz Lang,48,No,FALSE
1991,144,State of Grace,Drama,Sean Penn,Robin Wright,Phil Joanou,49,No,FALSE
1991,145,Sophia Loren Her Own Story,Drama,John Gavin,Sophia Loren,,49,No,FALSE
1991,97,Rhapsody in August,Drama,Richard Gere,,Akira Kurosawa,50,No,FALSE
1991,115,Flight of the Intruder,Drama,Danny Glover,Rosanna Arquette,John Milius,51,No,FALSE
1991,99,Paris Trout,Drama,Dennis Hopper,Barbara Hershey,,53,No,FALSE
1991,89,Green Glove,Drama,Glenn Ford,,Rudolph Mate,54,No,FALSE
1991,106,Not Without My Daughter,Drama,Alfred Molina,Sally Field,Brian Gilbert,55,No,FALSE
1991,193,Separate but Equal,Drama,Sidney Poitier,,George Jr. Stevens,56,No,FALSE
1991,158,Until the End of the World,Drama,William Hurt,Solveig Dommartin,Wim Wenders,57,No,FALSE
1991,108,Prisoner of Honor.,Drama,Richard Dreyfuss,Catherine Neilson,Ken Russell,58,No,FALSE
1991,113,Audrey Rose,Drama,Anthony Hopkins,Marsha Mason,,62,No,FALSE
1991,96,Hearts of Darkness A Filmmaker's Apocalypse,Drama,Sam Bottoms,Eleanor Coppola,Fax Bahr,72,No,FALSE
1991,104,Hear My Song,Drama,Adrian Dunbar,Tara Fitzgerald,Peter Chelsom,72,No,FALSE
1991,116,Boom Town,Drama,Spencer Tracy,Katharine Hepburn,,73,No,FALSE
1991,101,Keeper of the Flame,Drama,Spencer Tracy,,,76,No,FALSE
1991,206,JFK,Drama,Kevin Costner,Laurie Metcalf,Oliver Stone,78,No,FALSE
1991,186,At Play in the Fields of the Lord,Drama,Tom Berenger,Daryl Hannah,Hector Babenco,81,No,FALSE
1991,110,Hanover Street,Drama,Harrison Ford,Lesley-Anne Down,Peter Hyams,81,No,FALSE
1991,,Tormenta Sobre Arizona,Drama,Wallace Ford,,,81,No,FALSE
1992,166,The Hallelujah Trail ,Drama,Burt Lancaster,,,6,No,TRUE
1992,138,The Fisher King ,Drama,Robin Williams,Mercedes Ruehl,Terry Gilliam,8,Yes,TRUE
1992,137,The Long Gray Line ,Drama,Tyrone Power,Maureen O'Hara,John Ford,26,No,TRUE
1992,139,The Sheltering Sky ,Drama,John Malkovich,Debra Winger,Bernardo Bertolucci,64,No,TRUE
1992,136,The Prize ,Drama,Paul Newman,,,66,No,TRUE
1992,87,The Law & Jake Wade ,Drama,Robert Taylor,,,68,No,TRUE
1992,153,The Quiet Man ,Drama,John Wayne,Maureen O'Hara,,74,No,TRUE
1992,95,The Until y Sail,Drama,Paul Newman,Jean Simmons,Robert Wise,77,No,TRUE
1992,104,The Unnamable II  Statement of Randolph Carter ,Drama,John Rhys-Davies,Julie Strain,Ouellette,,,TRUE
1992,112,Conversation Piece,Drama,Burt Lancaster,,,1,No,FALSE
1992,95,Alan & Naomi,Drama,Lukas Haas,Vanessa Aquino,Sterling Vanwagenen,3,No,FALSE
1992,100,Eighty-Four Charing Cross Road,Drama,Anthony Hopkins,Anne Bancroft,David Jones,9,No,FALSE
1992,213,Exodus,Drama,Paul Newman,Eva Marie Saint,Otto Preminger,13,No,FALSE
1992,128,Night on Earth,Drama,Roberto Benigni,Gena Rowlands,Jim Jarmusch,24,No,FALSE
1992,95,Juice,Drama,Tupac Shakur,Cindy Herron,Ernest R. Dickerson,31,No,FALSE
1992,90,Germicide,Drama,Rod Taylor,Bibi Andersson,,36,No,FALSE
1992,101,White Sands,Drama,Willem Dafoe,Mary Elizabeth Mastrantonio,Roger Donaldson,38,No,FALSE
1992,101,Cool World,Drama,Gabriel Byrne,Kim Basinger,Ralph Bakshi,44,No,FALSE
1992,112,Macbeth,Drama,Orson Welles,Jeanette Nolan,,45,No,FALSE
1992,125,Final Analysis,Drama,Richard Gere,Kim Basinger,Phil Joanou,50,No,FALSE
1992,111,Pope of Greenwich Village,Drama,Mickey Rourke,Daryl Hannah,,58,No,FALSE
1992,103,Death Becomes Her,Drama,Bruce Willis,Meryl Streep,Robert Zemeckis,61,No,FALSE
1992,90,Diary of a Hitman,Drama,Forest Whitaker,Sherilyn Fenn,Roy London,67,No,FALSE
1992,85,Double Edge,Drama,Abba Eban,Faye Dunaway,Amos Kollek,69,No,FALSE
1992,84,Dragonfight,Drama,Robert Z'Dar,Fawna MacLaren,,71,No,FALSE
1992,96,A Day in October,Drama,D. B. Sweeney,Kelly Wolf,Kenneth Madsen,76,No,FALSE
1992,96,Defense of the Realm,Drama,Denholm Elliott,Greta Scacchi,,79,No,FALSE
1992,130,Who's Afraid of Virginia Woolf?,Drama,Richard Burton,Elizabeth Taylor,Mike Nichols,82,Yes,FALSE
1992,135,City of Joy,Drama,Patrick Swayze,Pauline Collins,Roland Joffe,87,No,FALSE
1992,100,Class Act,Drama,Christopher Reid,Rhea Perlman,,88,No,FALSE
1993,75,Employee's Entrance,Drama,Warren William,Loretta Young,,0,No,FALSE
1993,76,Return Engagement,Drama,Joseph Bottoms,Elizabeth Taylor,,26,No,FALSE
1993,,Mr. & Mrs. Bridge,Drama,Paul Newman,Joanne Woodward,,29,No,FALSE
1993,104,It Started with a Kiss,Drama,Glenn Ford,Debbie Reynolds,,80,No,FALSE
1987,102,Made in Heaven,Fantasy,Timothy Hutton,Kelly McGillis,Alan Rudolph,57,No,FALSE
1932,65,Freaks,Horror,Wallace Ford,Leila Hyams,Tod Browning,61,No,FALSE
1935,64,One Frightened Night,Horror,Wallace Ford,Mary Carlisle,Christy Cabanne,33,No,FALSE
